might be successfully attempted near New York. I went,Balti- ,,,,,
more a few days ago partly,see what could probably be done. If ,,,,,
might be made,seize them, without a dollars expense,Texas, by ,,
proposing,some proper individual the spoils, or a portion of them ,,,,
with my recall, that I may be able,explain the situation of matters ,,,,
King that they wished Texas,femain independent, upon commer- ,,,,
(Eztnct of a lettar from Mr. Brower,Ifr. Van Zandt, referred,In tho fotBgotng dispatch.) ,,,
a Here Is omitted a paragraph relating,Van Zandt*8 salary. ,,,,,
Â» These were the two vesseto bant hi England in 1842 and allowed,go,sea in spite of the protests of ,,,,
Charge Ashbel Smith. Bee Smith,Aberdeen June 14 1842,,,,,
the part of the officers,hurry forward the work â€” from which he ,,,,,
supposed Dispatches may have been reed., pertaining,the part ,,,,
they may be designed,take in Santa Anna's new project for the ,,,,,
invasion of Texas. If any part, naturally, the object would be to ,,,,
Texas, now, has no Naval force in commission. It has appeared to ,,,,
me that the Government and people of Texas should look,the pro- ,,,,,
possible plan some expedition by which,board and take those ,,,,,
Steamers if they appear off Galveston. It appears,me an ordinary ,,,,,
for you,make any suggestion you may please, to the Texian Execu- ,,,,
Van Zandt,Calhoun.** ,,,,,
Oalhoun,King.* ,,,,,
Calhoun,Van Zandt.Â« ,,,,,
Van Zandt,Calhoun.&lt;* ,,,,,
Van Zandt,Jones.Â« ,,,,,
I have the honor,enclose you herewith the note of Mr. Calhoun ,,,,,
it, and my reply of this date,the same. ,,,,
and the offer,return or make compensation for the arms, it will ,,,,
only be necessary,indicate at what point the arms are desired ,,,,,
necessary,await an appropriation by Copgress. As the arms will ,,,,,
a August 10 1844,,,,,,
Â«Augustl4,1844. See Van Zandt,Jones, August 16 1844,,,
d August 16, 1S44. Bee Van Zandt,Jonee of same date. ,,,,
their acceptance, it seems,me it would be policy,receive them ,,,
him by Cooke. If this be true, perhaps it would be unnecessary to ,,,,,
In fact as,the Uability, every thing is conceded which could be ,,,,
been more formal,have concluded a convention, but not having ,,,,
The Affidavit of the Collector and others as,the introduction, ,,,,
seizure and value of the goods will be all sufficient, to transmit to ,,,,,
and forwarded,this Legation as early as possible. I told Mr. Cal- ,,,,,
act of courtesy, to relinquish the claim for damages so far as the ,,,,,
property actually belonged,the United States. I should be much ,,,,,
by Great Britain, but I think there is nothing,substantiate the ,,,,
of Congress,consider how far Texas should be protected against ,,,,,
I will advise you of it,morrow. ,,,,,
[Here follows a copy of Calhoun,Van Zandt, August 14 1844,,,,
Captain Cooke of the U. S. Dragoons, in relation,the discharge ,,,,
of the duty assigned,him for the protection of the Caravaa of ,,,,,
Santa Fe traders over the territory of the United States,the Texan ,,,,,
Leavenworth, Mo, in the month of April," pursuant to ""general ",,,
President," ""to examine into and report the facts respecting the ",,,,,
Dragoons, discharged the duties assigned,him for the protection ,,,,
States,the Texan frontier in May and June 1843, whether, in his ,,,
Caravan," ""derived from the orders of the Secretary of War",the ,,,,
of the Adjutant General,Colonel Kearney,^ dated March 29th. ,,,,
In answer,your communication of this day, I have the honor to ,,,,
SeCTetary of War,the Department of State, on the 11th. of May ,,,,
I have the honor,be ,,,,,
2nd. of April, (marked B) relative,the protection alledged,have ,,,
been given by an officer of the Army of the United States,persons ,,,,,
Republic of Texas, etc refered,in the letter of the Secretary of ,,,,
State trf this date, being the result of the inquiry directed,be ,,,,
made in the matter, as seen by instructions from this office,Genl. ,,,,
report (the officer implicated) to Genl. Taylor, dated April 20th. ,,,,,
tive,the subject. ,,,,,
two commtmicatlons of Armstrong,Crawford, one of April 10,1843, and the other ondated, that were ,
enclosed with Van Zandt,Jones, Aogost 15 1843,,,,
"Boat ""Fort Towson"". I am therefore directed",call your atten- ,,,,,
tion,this complaint against the officer of the army named, and ,,,,
Your communication of March 11th. with enclosures from 1,7, ,,,,
relative,an alledged participation of the Military force of Fort ,,,,,
it necessary,make any report,General Head Quarters. It will ,,,,
force had nothing,do with the forcible removal of the goods from ,,,,,
a Bonrland,Secretary of Treasury of Texas, May 4 1843,,,,
you,him for any further particulars. ,,,,,
I have,inform you that on tuesday, 11th. inst, I was informed by ,,,
tity of public stores, as well as merchandise, etc, belonging,mer- ,,
Ernst and 10 men,come up on the boat. â€” No appearance of an ,,,,,
attack â€” ^The river is rising and the boat expected,day. I am told ,,,,,
these goods were stored on the Texan shore,lighten the boat, and ,,,,
he feared an attempt,recapture them. ,,,,,
allow our boats,be molested. This was also the opinion of Col. ,,,,,
chants of Doaksville etc sent an express,Washington, Texas, to ,,,
him,use his influence,procure the restoration of these goods. ,,,,
Towson, and unknown,the Merchants and owners of the goods. ,,,,
[Here follows a copy of Van Zandt,Calhoun, August 16 1844,,,,
Bboweb,Van Zandt.* ,,,,,
Calhoun,Van Zandt.^ ,,,,,
Van Zandt,Jones.** ,,,,,
I have the honor,enclose you herewith a copy of my note of the ,,,,,
10th. instant,the Secretary of State of the United States request- ,,,,,
ing the delivery of two boys said,have been taken prisoners on ih/&amp; ,,,,,
received. You will perceive from my note,Mr. Calhoun that I ,,,,,
their capture. The boys will no doubt be recovered and sent,the ,,,,,
Chickasaw Agency. Would it not be well,publish the fact that ,,,,,
the friends of the boys may take the necessary st^s,secure their ,,,,,
h August 16 1844,,,,,,
eAugust 17 1844,,,,,,
I did not deem it necessary,await your instructions in this mat- ,,,,,
ter, but thought it best,act promptly lest the delay might embar- ,,,,
in reply,certain inquiries which I addressed him respecting the ,,,,,
same. In a few days I expect,hear from him again when I may ,,,,,
think proper,write you further on the subject. ,,,,,
With the highest respect I have the honor,be ,,,,,
[Next come copies of the following :&lt;Â» Van Zandt,Calhoun, ,,,,
Augtist 10 1844,,,,,,
(Extract from Mr. Brower's letter,Mr. Van Zandt) ,,,,,
Montezuma are,be manned, or partially so with U. S. seamen ,,,,
when they leave here, but as yet, I am not enabled,write you with ,,,
that degree of certainty upon this point which I hope,do in a few ,,,,,
I think with you, it might not be policy,interfere with the ship- ,,,,
ment of the crews of these steamers â€” except so far,have knowledge ,,,,,
of the fact, as,rebut any charges by Mexico against the United ,,,,
Amer. seamen on board these ships might easily be taught,feel ,,,,,
with free ports, and second,this she sees her interest clearly in ,,,,
returning Texas,the Gk)vt. of Mexico in preference,annexation ,,,,
Van Zandt,Calhoun Â« ,,,,,
Raymond,Jones.* ,,,,,
Raymond,Jones.* ,,,,,
WiLKiNs,Calhoun.*' ,,,,,
Thomas,Abbucklb.&lt;* ,,,,,
Raymond,Jones.Â« ,,,,,
Ceawford,BooNiE./ ,,,,,
Wilkins,Calhoun.^ ,,,,,
Calhoun,Van Zandt.* ,,,,,
Van Zandt,Calhoun.* ,,,,,
Calhoun,Howard.^ ,,,,,
Van Zandt,Calhoun.* ,,,,,
Calhoun,Van Zandt.* ,,,,,
a August 24 1844,,,,,,
d August 31 1844,,,,,,
/ August 31 1844,,,,,,
* September 6 1844,,,,,,
i September 9 1844,,,,,,
* Septembtf 10 1844,,,,,,
Van Zandt,"Jones."" ",,,,,
I was prostrate with a severe billions attack and confined,my bed. ,,,,,
dent, and shall start for home as soon as I am able,travel. I will ,,,,
I send you with this several communications made,and received ,,,,,
directed,him. The one in relation,the Indian treaties, requiring ,,,
immediate attention, I deemed it best,make a communication ,,,,
I had hoped,be able,give the subject of the movements of the ,,,,
ject, and Mr. Calhoun has been kind enough,caU at my room fre- ,,,,
quently, but it was impossible, owing,my feeble state, to discuss ,,
be sent him,commimicate,you, â€” eJl of which I trust may be sat- ,,,
isfactory,the President. ,,,,,
will be certain, if Texas continue,desire it, which I trust she may. ,,,
Mr Calhoim has promised,show us the dispatch,General ,,,,
I shall deliver as directed all the archives of the Legation,Mr ,,,,,
will proceed,discharge the duties of the Legation, as Acting Charg6 ,,,,
[Next come copies of the following :&lt;* Van Zandt,Calhoun, August ,,,,
24 1844,,,,,,
Arbuckle, August 31 1844,,,,,
Van Zandt,Calhoun, September 9 1844,,,,
Raymond,Jones.* ,,,,,
Calhoun,Howajrd/ ,,,,,
Ratmokd,Jones.&lt;* ,,,,,
Your dispatch of tJie 29th. of July, last, addressed,me Â«s Acting ,,,
Charg6 d' Affaires, in relation,a contemplated Indian Council, was ,,,
however immediately addressed a note,the Secretary at State of ,,,,,
Affairs of the United States, copies of which were aiclosed,you in ,,,,
any event, it is,be hoped the Indians will be detained until his ,,,,
the President and Secretary of War and Marine,the Communication ,,,,,
23rd. ultimo. I showed the President's reply,Mr Calhoun who ,,,,,
6 C/.WlUdns,Calhoun, September 6 1844,,,,
too ill,leave his room) and in pursuance of your instructions made ,,,,,
known,him and afterwards,the President of the United States, ,,,
regard,the measures that would be adopted by this Government in ,,,,,
fulfillment of its pledges, and directed,commimicate the same to ,,,,
reference,this subject, and he had the kindness,call repeatedly ,,,
having been brought,the attention of this Government by the ,,,,,
Howard, it seemed,be unnecessary,address a written communi- ,,,
cation upon it,the Department of State here. ,,,,,
ment of State of the United States,their Minister at Mexico,be ,,,,
communicated by him,the Mexican Government, protesting against ,,,,
Mexico as highly offensive,th^n. â€” A cop/ of it will be furnished ,,,,,
Since writing the above Mr Calhoun has sent us his dispatch, to ,,,,,
Genl Howard, to peruse, and,our surprise nothing was mentioned ,,,
in it respecting the disposition,be made of the land and naval ,,,,,
forces of the United States in order,our protection. I inamediately ,,,,,
called at the Department of State and expressed,Mr Calhoun my ,,,,,
orders, given at the time tiie treaty was made, to Brig' GenL Taylor ,,,,
I shall continue,press upon the (Jovemment of the United States, ,,,,
by every consideration in my power,offer, the high obligations they ,,,,
are under,afford us prompt and efficient aid and protection against ,,,,,
I have the honor,be with high regard ,,,,,
Calhoun,Donelson.* ,,,,,
Thomas,Taylor.** ,,,,,
Thomas,Arbuokle.'' ,,,,,
Calhoun,Raymond.* ,,,,,
Raymond,Jones.* ,,,,,
d' Affaires,our Government. The appointment has been confered ,,,,,
special message was dispatched,him on yesterday morning ^th ,,,,,
entertained, he is directed,proceed with all possible speed,our ,,,
seat of Government and communicate,your Department the meas- ,,,,,
ures taken and,be taken by this Government in fulfillment of its ,,,,,
pledges of protection. In addition,the protest of this Government ,,,,,
to Mexico, refered,in my last dispatch, a copy of which the United ,,,
States Chargfi is directed,communicate,you, and its orders for ,,,
command, to the Gulf and along our coast, Mr Donnelson has been ,,,,
authorized and instructed, upon representations being made,him ,,,,
by our Government that there is reason,apprehend an attack ,,,,,
adjacent,the boimdary line of Texas and the United States, ,,,,
restraining by force these Indians, to order the troops from Fort ,,,,,
Jesup, Fort Towson etc,such points and places in Texas as may ,,,,
one desirable point at which,station a large detachment. Mexico ,,,,,
under that article of the treaty, Texas has the right,demand this ,,,,
States and Texas, endeavouring,instigate them,join our enemy ,,,
at home, to furnish such facts and evidence,the United States ,,,,
Charg6 d' Affaires, in relation,the disposition and probable designs ,,,,
him,give the orders alluded to. ,,,,,
on a visit of a few days,the Springs in Virginia. Mr Calhoun will ,,,,,
leave next week on a visit,South Carolina. ,,,,,
I have the honor,be with sentiments of high regard Your Most ,,,,,
Raymond,"Jones."" ",,,,,
recently, with the Secretary of State in regard,them, and he has ,,,
of this city, to New York, who with Mr Hoffman the United States ,,,,
District Attorney, is directed,keep strict watch upon ttieir move- ,,,,
ing the laws of neutrality, to institvite the necessary l^al process ,,,,,
for their detention. Owing however,the want of proper mimicipal ,,,,,
regulations, in this country, to give eflSciency,the law of nations ,,,
in such cases, I very much fear they will be suffered,depart ,,,,
I was on yesterday permitted,read at the Department of State ,,,,,
part of our country. This,be done, immediately upon the arrival ,,,,
by him that orders had gone,Commodore Connor,proceed forth- ,,,,
with with the vessels under his command, on a cruise,iixe Gtilf c^ ,,,,
Minister at Mexico has been instructed,make,the Mexican Gov- ,,,,
no serious invasion either by land or sea, it is wise, however, to be ,,,
appointment of Charg6 d 'Affaires,Texas, but it is presumed he has, ,,,
and that he is now on his way,his post. ,,,,,
I have the honor,be ,,,,,
Shannon,Rej6n.* ,,,,,
a October 14 1844,,,,,,
You have been appointed Chargfi d' Affaires of this Government to ,,,,,,
that of the United States and I have the pleasure,transmit you ,,,,,
herewith your commission as such, your letter of Credence,be ,,,,
presented,the Secretary of State of that coxmtry, with a copy of ,,,,
the same ^ and also a full power,negotiate Treaties etc. ,,,,,
So soon as it may be convenient it is desired that you will repair to ,,,,,,
the aid and protection,be rendered this country by the United ,,,,,
under the pledges and assurances given, previous,intering into ,,,,
of the United States not be wiUing,fulfill all those pledges in the ,,,,,
most ample manner and,protect us both by sea and land, by the ,,,,
in reference,annexation ,,,,,
ised copies of the instructions sent,him and,Qov. Shannon ,,,,
Charg6,Mexico. I am consequently as yet ignorant of the precise ,,,,,
course adopted by the Cabinet at Washington in reference,the ,,,,,
appUcation made,it some time since for a redemption of those ,,,,,
time,be present at the Treaty. This circumstance was very much ,,,,,
regretted by the President, and he used every effort,detain the ,,,,
and would not wait. You will explain this matter,the Secretary ,,,,,
I have the honor,be very Respy. ,,,,,
Jones,Raymond. ,,,,,
I have the honor,inform you that the Hon. James Reily has ,,,,,
been appointed Chargfi d'Affaires of this (lovemment,the United ,,,,,
I have the honor,be, ,,,,
Shannon,Calhoun.* ,,,,,
Rej6n,Shannon.** ,,,,,
Shannon,Rej6n.&lt;* ,,,,,
Rej6n,Shannon.* ,,,,,
o Received Noyember 28. Bee Raymond,Secretary of State of Texas, December 4 1844,,,,
e October 31 1844,,,,,,
d November 4 1844,,,,,,
â€¢ November 6 1844,,,,,,
Shannon,Rej6n.&lt;* ,,,,,
Reillt,Jones.* ,,,,,
Raymond,Jones.** ,,,,,
tion,Europe for a few months, and requestmg leave of absence ,,,,
him,appoint some suitable person as Vice Consul during his absence. ,,,,,
patch,his Government, says that Mexico is entirely without the ,,,,
means,make a move against us, and that there is a strong proba- ,,,,
mitted,your Representative, here, as early as possible. This (jov- ,,,
emment is now preparing the case,submit,Congress. ,,,,
I have the honor,be with sentiments of high regard ,,,,,
a November 8 1844,,,,,,
b November 10 1844,,,,,,
Bbplt of Jones,Donelson's Address.^ ,,,,,
Address of Donelson's,Houston.* ,,,,,
Reply of Houston,Donelson Address.* ,,,,,
Donelson,Jones.* ,,,,,
Finding among the mstructions directed,this legation, by the ,,,,
Government of the United States, a despatch,the late CSiargfi ,,,,
d' Affaires, Grenl Murphy, in relation,a complaint against the col- ,,,
which resulted in an agreement by the Masters of those vessels,pay ,,,,,
that the views of my Government on the subject, if communicated to, ,,,,
earliest opportunity since my arrival,soUcit your attention,it. ,,,,
Not supposing it can be intended,deny,the United States ,,,,
along its west Bank,the 32d degree of North latitude, as ascer- ,,,,
tained by the line referred to, it is presumed by my Government that ,,,,,
mere statement of the facts of the case,this Government will pro- ,,,,,
this expectation it cannot be necessary for me,dwell upon the ,,,,,
tendency of such complaints,interrupt the friendly feeling between ,,,,,
two Governments,promote, â€” or,make assurances of the deter- ,,,
rights, to obstain from every act which can be deemed questionable ,,,,,
I have the honor,be, with sentiments of great ,,,,
Mr. CticuUu,Mr. Si&gt;encer. ,,,,,
I have the honor,transmit,you, herewith, the Deposition of ,,
threats of being sunk, to land in Texas and there give their obligatiooi ,,,,,
to pay one dollar per ton,the Texian oflBicer of the Customs, which ,,,,
they did under protest (No 2), also the reply of Hon Batie&lt;* Peyton to ,,,,,
a letter addressed,him on the subject by me. ,,,,,
This being a very grave matter and one Ukely,lead,very dis- ,,,,
agreeable results,both countries, I most respectfully request your ,,,,
I have the honor,be, very ,,,,
ICr^ Peyton,Mr. CacoUu. ,,,,,
Sabine, were compelled by threats of having their vessels sunk, to ,,,,
land on the Texas side, and there pay or give their obligation,pay ,,,,
said Captains are about,clear for the Sabine, and not wishing or ,,,,
intending,stop at a foreign port, request instructions and protec- ,,,,
belongs,the Executive departments of the governments of the ,,,,,
According,the treaty of 22nd February 1819, and the third ,,,,
tinuing North along the western lanTc of that river,the 32nd degree ,,,,,
of latitude, thence by a line due North,the Rio Roxo or Red River. ,,,,
rivers, throughout the course thus described,belong,the United ,,,
common,the inhabitants of both nations. ,,,,,
ereignty over the whole extent of the Sabine river up,the degree ,,,,,
rights of her citizens,molest or hinder them in the navigation of ,,,,,
I think that you should extend all reasonable protection,Ameri- ,,,,,
means,be used are,be determined on by yourself imder the ,,,,
would suggest the propriety of resorting,no course which may ,,,,,
have a tendency,produce violence or bloodshed, xmtil the two ,,,,
to come,anchor by the firing of two large gims from the Texas ,,,,,
Band,^ and demanded,pay one dollar per ton for the full tonnage ,,,,
of our vessels; and refusing,comply, were told by the Texas Col- ,,,,
Uie amount of any money with us,meet such demand and believing ,,,,,
such,be no better than robbery upon the high sea, we made a ,,,,
this is a duplicate. Hoping,be protected by our government in ,,,,,
the United States, we submit this,your consideration beUeving in ,,,,
ing the imposition of said tonnage duty,be improper and not ,,,,,
having the amoimt of Money required,be paid, nor any way of ,,,,
now obtaining the same, at this place and with a disposition,avoid ,,,,
Dashiels ^ Esq. hereby agrees,accept from the said Daniel Eddy ,,,,,
and D. N. McÂ«s, their respective promissory notes,be indorsed by ,,,,
are made a part of this agreement by consent of all parties,the ,,,,,
Rivers, then the said Eddy and Moss agree,pay said sums of Money ,,,,
as are expressed,be paid in said promissory notes, or should said ,,,,
shall deliver the same,said Eddy and Moss or their properly ,,,,,
We or either of us hereby promise,pay,W. C. V. Dashiel or his ,,,,
We or either of us hereby promise,pay,W. C. V. Dashiell (or ,,,,
Calhoun,President op United States [Tylee]. ** ,,,,,
Calhoun,Raymond.* ,,,,,
Raymond,Calhoun.'' ,,,,,
Raymond,the Secretary of State of Texas [Jones]*'. ,,,,,
I had the honor, on the 28th. ultimo, to receive your dispatch of ,,,,
had been appointed Charg6 d'Affaires of Texas,the United States, ,,,,
month,enter upon the duties of his oflBice. He has not yet arrived, ,,,,
Enclosed herewith I transmit,your department a copy of the ,,,,,
Snively affair, has been brought,the attention of Congress in the ,,,,
is hoped you wiU soon enable your Representative, here, to communi- ,,,,
cate the evidence alluded to, to this Government for the information ,,,,,
the United States,both Houses of Congress,^ which was communi- ,,,,
cated,them on yesterday. It recommends, as I anticipated, the ,,,
h December 2, 1 S44. See Raymond,Jones, December 4 1844,,,
unless, in the mean time, Texas, herself, interpose some ol^tacle,its ,
ment. It will be for Texas,say whether she wiU consent,annexa- ,,,,
I send you by the mail of,"day the '* National Intelligencer"" of ",,,,,
this morning, and the ** Globe'' of yesterday and,day, from which ,,,
I will continue,send you the newspapers and,keep you advised ,,,,
I have the honor,be with great regard ,,,,,
(Mr Calhoun,Mr Raymond.) ,,,,,
In a note which I had the honor,address,Mr Van Zandt, late ,,,
to the outrage alledged,have been committed by certain citizens of ,,,,,
that, in order,a final adjustment of the difficulty, this Department ,,,
should be furnished with *'all the evidence which may be required to ,,,,,,
United States, and the amount of damage suffered in consequence; to ,,,,,
be transmitted by the President,"Congress with his Message."" ",,,,,
observes: â€” ''The testimony refered to, as necessary,be transmitted ,,,,
to the subject, and request that the evidence refered to, if it has been ,,,,
received, may be communicated,this Department in order that ,,,,
the same may be transmitted with the President's Message,morrow. ,,,,,
I have the honor,be, with high consideration, ,,,
In reply,your note of,day requesting that the evidence estab- ,,,,
lishing; authentically, the facts of the outrage alledged,have been ,,,,
District of Red River if in my possession, might be communicated to ,,,,,
your Department in order that the same might be transmitted, to- ,,,,,
morrow, with the President's Message,Congress, I have the honor ,,,
to inform you that the evidence alluded,has not yet been received, ,,,,
but there is every reason,believe it soon will be, when I will lose ,,,,
honor,be ,,,,,
DoNELSON,Jones.** ,,,,,
The Undersigned Charge d'Affaires of the United States,Texas, ,,,,
has the honor,inform you, that he received last evening by the ,,,,
Mexico and that Government, in relation,the invasion of Texas ,,,,
and,the mode of conducting it, as threatened by the authorities of ,,,,
on a subject of such vital importance,the interests of Texas, and ,,,,
the responsibility incurred by the invitation which led,the Treaty ,,,,,
of Annexation, the undersigned begs leave,submit copies of thb ,,,,
correspondence,you. ,,,,,
The undersigned, not,postpone the delivery of these papers to ,,,,
which they appear,call for from him, as bearing upon the question ,,,,
of annexation; and in the mean time has the honor,subscribe ,,,,,
[The enclosures referred,in the letter are Shannon,Rej6n, ,,,
October 14 1844,,,,,,
Rej6n, November 4 1844,,,,,
Shannon,Rej6n, November 8 1844,,,,
Jones,Donelson. ,,,,,
the honor,acknowledge the receipt of the note Mr. Donelson Charg6 ,,,,,
United States, at Mexico, and that Government, in relation,the ,,
signed is happy, also, to bear testimony,the fidelity which they ,,,
out the pledges, given,this, previous,entering into the Treaty ,,
convenience, be much gratified,receive the suggestions which they ,,,,
may appear,him,call for as bearing upon the important question ,,,,
to tender,Mr. Donebon, assurances of the high respect with which ,,,,
he has the honor,be ,,,,,
Allen,Reilly.* ,,,,,
United States, has requested me,ask for a renewal of it by the ,,,,
fore consented,make it in this informal manner. ,,,,,
I have the honor,be, with sentiments of great respect. ,,,,
Chargi d Affaires of the United Staies,Texas. ,,,,,
Allen,Donelson.** ,,,,,
has the honor,acknowledge the receipt of the note, which Mr ,,,,
Donelson, Charg6 d'Aflfaires etc., did him the honor,address,him, ,
heretofore issued by His Excellency, President Houston, and to ,,,,
The undersigned avails himself of this occasion,offer,Mr Don- ,,,,
Allen,Donelson.* ,,,,,
a December 10 1844,,,,,,
Â« December 13 1844,,,,,,
leave respectfully,invite the attention of the Honble Mr Allen to ,,,,,
the ninth section of the act entitled an act supplementary,an ,,,,,
"act,raise a revenue by import duties, whereby an additional ",,,,,,
The undersigned anxious,improve the intercourse between ,,,,,
referred to, against the United States, whilst it lessens that inter- ,,,,
course is productive of no advantage,the revenue of Texas, would ,,,,
lead the Executive of Texas,take the same view of it, and, if so, ,,
result in a recommendation,Congress,modify the act so far as ,,,,
it relates,the vessels of the United States. ,,,,,
proof of the desire of the United States, to promote by all the means ,,,,,
honor,be with sentiments of the highest regard ,,,,,
Points,be Insisted on in Annexation.* ,,,,,
Assumption of national debt, or not. If not assumed, we to ,,,,
Texas hereafter,comprise as many states as the U. States may ,,,,,
ft The original is written on a loose sheet which was filed separately, and there Is nothing,show bow ,,,,
"It was used. It is endorsed "" Points",be Insistad on In the aiuiezatloa measure which may be passed ,,,,,
that they are,be reimbursed upon the same principles of equity, ,,,,
Public debt not,exceed 10,0,0,,,
Public Uabihties,be redeemed at the price at which they were ,,,,,
the joint resolution,be passed by the Congress of the United States ,,,,,
add greatly,the satisfaction of the people of Texas, and secure ,,,,
Raymond,Jones.* ,,,,,
Calhoun,Raymond.* ,,,,,
Raymond,Calhoun.* ,,,,,
Raymond,the Seorbtary op State op Texas [Allen acting]./ ,,,,,
Enclosed herewith I have the honor,transmit a copy of the note ,,,,,
seeking for information in regard,our pubUc debt and public lands, ,,,,
and also a copy of my reply,to the same. ,,,,,
In answer,his inquiry, I stated that the revenues of the Grovem- ,,,,
â€¢ December 16 1844,,,,,,
Â« December 23 1844,,,,,,
â€¢December 27 1844,,,,,,
8 per cent interest, amounting in all,about $600,0, which, if I ,
contained in the newspapers which I have from time,time sent to ,,,,,
of Texas,this Union, have been introduced into both the Senate ,,,,
and the House of Representatives, and refered,the appropriate ,,,,
Conunittees. Mr WeUer's resolution seems,meet with the most ,,,,,
matters which rendered Col. Benton's bill so exceptionable,many ,,,,,
"The ""Texas question'' will", according,previous arrangement, ,,,
come up,day, in the House for discussion. I think Mr C. J. ,,,,
IngersoU of Pa is entitled,the floor. I will be particular in sending ,,,,,
has ceased,excite much interest. It is supposed Mr Rejon wrote ,,,,,
induce it,withdraw its insulting and highly offensive note. ,,,,,
I have the honor,be, with great consideration. ,,,,
I have the honor,transmit, herewith, a copy of a Resolution ,,,
certain information in regard,the public debt and the public land ,,,,,
I invite your attention, particularly, to the two subjects of inquiry, ,,,
In replying,these inquiries, if you have any information in ,,,,
addition,that heretofore communicated by the Texan plenipo- ,,,,,
tentiaries, Messrs Van Zandt and Henderson, in reference,the other ,,,
subjects referred,in the Resolution, I would also thank you,com- ,,,
municate the same,this Department. ,,,,,
I have the honor,be, with high consideration. Sir, ,,,
I have had the honor,receive your note of the 23rd. Instant ,,,,,
inviting my attention,certain subjects of inquiry, based on a Reso- ,,,,
instant, calling on the President for information in regard,the pub- ,,,,
And in reply,the first inquiry, as,whether her public debt has ,,,
April, last, I have the honor,state that, from information and data, ,
public debt has not been increased since the period referred to, except ,,,,,
In answer,the second inquiry as,whether there have been any ,,,,
state that, if there have been any, they have not come,my knowl- ,,,
edge. I know of but one law authorizing the Government,make ,,,,,
authorizes the Government,issue land scrip, in redemption of its ,,,,
the effect, as you will readily perceive, has been,decrease the public ,,,
I have nothing further,add,the information heretofore com- ,,,,
municated,you by the Texian plenipotentiaries, Messrs Van Zandt ,,,,
Land Office of Texas, which was refered,in their note, that, in ,,
faith of that Republic stood pledged, are intended,be included. ,,,,
I have the honor,be with distinguished consideration ,,,,,
Williams, Thurston, and Megoerson,Green. ,,,
Raymond,Jones.* ,,,,,
Allen,Donelson. ,,,,,
has the honor,congratulate Mr. Donelson, Charg6 d'Affaires of ,,,,
sion,transmit,Mr. D. the enclosed copy of a proclamation ,,,,
and,enable him,present the matter with its incidents,the ,,,
consideration of his Government, should he deem it expedient, so to ,,,,
o Janaaiy 1 1845,,,,,,
industriously occupied in endeavouring,procure the sanction of ,,,,,
Congress,certain projected measures, in the consumation of which, ,,,
frequent private interviews with members of that body, to influence ,,,,,
an institution," to be styled ""The Texas Land Company",' ' â€” among ,,,,
holding and disposing of real estate,an unlimited amoimt â€” con- ,,,,,
together with the power and capacity,monopolize the exclusive ,,,,,
so,be called, also projected by Mr. Green, and designed,become ,,
presented,Congress; â€” having in part for its object, the conquest ,,,,
thousand Indian warriors, to be introduced from the United States ,,,,,
In furtherance of these schemes, and,obtain for them the for- ,,,,
ultimo, as well as on some previous occasions, he endeavored to ,,,,
induce His Excellency,exert his influence,effect the objects ,,,,
projected companies; and, secondly, â€” ^by a threat,revolutionize ,,,
of His Excellency's refusing,accede,the proposal. ,,,,
Coupled with this threat, Mr. Green, took occasion,boast of the ,,,
which could be readily aroused by exhibiting,their minds the ,,,,,
dangers,which our republican institutions would be exposed, in ,,,,
the facility with which they would become entitled,the privileges ,,,,,
station assigned,him, as Consul, was necessarily destroyed; and ,,,
in justice,his own convictions, to withdraw the Exequatur, referred ,,,
proceeding adopted by him in this case, in reference,Mr. Green, is ,,,
not susceptible of such a construction, as,render it in any degree ,,,,
objectionable,the Grovemment of the United States, directs the ,,,,
undersigned, to express,Mr. Donelson, the continued and earnest ,,,
desire of His Excellency,preserve and promote the mutual rela- ,,,,,
avails himself of the occasion,renew,Mr. Donelson the assurance ,,,,
the honor,remain ,,,,,
Raymond,Calhoun.Â® ,,,,,
Raymond,Allen.* ,,,,,
Your dispatch of the 9th. ultimo,Hon James Reily, who has ,,,,
a January 4 1846,,,,,,
I have communicated this change of administration,the Secre- ,,,,,
and its President as the occasion seemed,authorize. This, as you ,,,,
sued. I have the honor,enclose herewith a copy of the communi- ,,,,,
cation alluded to, which I hope Mrill be satisfactory,your Depart- ,,,,
tunity,learn what were his own and his Cabinet's views in regard to ,,,,,
passed by this Congress. They strongly incline,the opinion that ,,,,,
was continued,day but I have not had time,listen,it. The ,,,
measure gains strength from day,day, and unless the Whig party ,,,,
cease their opposition and permit it,pass, it will grind them to ,,,,
I have the honor,be with assurances of my high consideration. ,,,,,
[Then follows a copy of Raymond,Calhoun, January 4 1845,,,,
the honor,receive the communication addressed,him on the 4th. ,,,,
return,his residence near this Government, and stating the cir- ,,,,
cumstances which led,the revocation of the Exequatur granted to ,,,,,
The undersigned will avail himself of the earliest occasion to ,,,,,,
transmit,his Government the explanation which has been fur- ,,,,,
nished by the Honble Mr Allen of the transaction referred to, and is ,,,,,
glad,perceive that it rests on causes, which, much as they are to ,,,
by the undersigned, as,the state of his consular duties, remarked ,,,
that he was about,become a citizen of Texas, and having appointed ,,,,
not wish his name,be presented,the Senate of the United States ,,,,
it his duty,take cognizance of Mr Green's absence from Galveston, ,,,,
